id_cliente,recencia,frequencia,valor_total,churn_real,churn_pred,churn_proba,segmento_risco,acerto_churn
B5F147337709340B45CFAF8028AF462A,9,34,1962.9299999999998,0,0,0.08284645604121073,Baixo risco,False
8011E6587FDA3339AE0DF68DB2B2BA6E,148,15,1386.63,0,1,0.5009046422648143,Médio risco,False
59F589BF5F61A0C2A2C4A740D42FC9E6,330,2,285.42,1,1,0.9232860745726533,Alto risco,True
D13B6F409DD0476660C0C058A1CC6CBF,38,52,1511.53,0,0,0.039638703535023245,Baixo risco,False
56F2AFB91F956B9FDEE3E774F500387E,56,12,311.55,1,0,0.3990782881976368,Baixo risco,False
3FC612065B5FCC1F5919FD2BBF5AAE75,19,9,2511.7400000000007,1,0,0.29214229888132903,Baixo risco,False
77AB86EFB831D87093DB0696FD383CBD,59,13,1155.14,0,0,0.3590546407908442,Baixo risco,False
24128354D31C6BD70B39E527B5FA96FD,4,82,8639.52,0,0,0.001604975722357783,Baixo risco,False
B3198815879D1517C49452D68D9520BF,2,29,1984.1799999999996,0,0,0.10327473939122364,Baixo risco,False
FE77C9131F900474E5C117E9B22B6933,27,37,1784.65,1,0,0.08251280146282165,Baixo risco,False
809FD1192BC20E39956EC73E2B24B745,69,2,206.94,1,1,0.5805413729654547,Médio risco,True
98CFF2A4111D191EF17203EEF048109B,288,1,31.41,1,1,0.903710501376824,Alto risco,True
6BCC6E8238D64525A994572C7DD85CCE,21,33,4335.6,0,0,0.06780605147705762,Baixo risco,False
1E526F39A239C679EF2C3FCCD802FB44,0,4,471.8,0,0,0.3979287499568984,Baixo risco,False
9A9554BDBB012515A5FF8F143A4E1E8B,53,6,345.12,1,0,0.4814912269438659,Médio risco,False
7C1FDF0CFF29E77481CF8D32FB905871,2,14,470.7699999999999,0,0,0.2676504398239574,Baixo risco,False
FFC70322BDFD4438D80DD2F197E93A42,2,67,15830.080000000002,0,0,0.0012542720387211162,Baixo risco,False
F0411AEF981C325621075E7FABEF6D4D,16,17,1222.95,0,0,0.2328347734373167,Baixo risco,False
691298DFA5925C21AF9D9CA5AED42525,11,69,2359.7,0,0,0.010117442629265292,Baixo risco,False
3257F171E2EB8F96AB33B4A1598FF190,117,14,1022.96,1,0,0.46606311528653055,Médio risco,False
2ED9356BE333A6DE6140AF427759D6D5,4,10,613.95,0,0,0.31670246646555117,Baixo risco,False
5BAB4C0EE24B5662EFC1EF0381D35EDB,155,10,1087.87,1,1,0.6020836477529371,Médio risco,True
FE9CAFF7F00B4A57802ADC50BCB5DBFD,6,3,185.34000000000003,0,0,0.43595836048115066,Médio risco,False
94B91797D4C22CE07E91D2CB3728F55A,103,15,1377.66,1,0,0.4085376277274136,Médio risco,False
B2BA16538F407340DA99C04EAD04FD1F,1,179,6974.499999999998,0,0,5.540766082962474e-06,Baixo risco,False
7E37A3B5C7C56A1AA65BDB36488D3AD3,151,1,388.36,1,1,0.73894667207077,Alto risco,True
DC5FDD3BCC51FC0A248DAD54619243FA,422,1,16.74,1,1,0.9663765360752443,Alto risco,True
B2B96545E2AE019A196814D1303A2453,51,14,1438.48,0,0,0.3203499642138528,Baixo risco,False
88EF8B09BEF33F0CD994872662711483,293,3,403.6,1,1,0.8908776372190029,Alto risco,True
E118B3AFD8F2D0A806F302E62B0C6B2F,200,2,339.34000000000003,1,1,0.8015116837004774,Alto risco,True
4E694FDEAE3AF65CAD427E3774BF4A8D,1,53,3021.9300000000003,0,0,0.021942165621558107,Baixo risco,False
454F3CC214BB9DC70AF9DB35AAC527DE,26,23,3541.2700000000004,0,0,0.13663644854443596,Baixo risco,False
5EF57FBCA85509E91E53BC4DA6A98111,12,4,167.89,0,0,0.43395634140647205,Médio risco,False
95A04F9B914016E7CE43869920BB825C,154,1,180.66000000000003,1,1,0.7499893003616663,Alto risco,True
6EC7166154256959449E9256AA87A48A,183,1,25.049999999999997,1,1,0.7965746782670986,Alto risco,True
49CCE7A61BFCBAC07BB7752E3973FB6A,416,1,76.24000000000001,1,1,0.9643894575296198,Alto risco,True
D61D251620CCA06179DBF9183E5B863B,413,1,12.69,0,1,0.9638744910163289,Alto risco,False
69922AAB73BD525F1C1988CE4114A85D,385,2,270.14000000000004,1,1,0.9502017234437934,Alto risco,True
2134DD275D170609D85C9C2F9078E073,187,1,57.099999999999994,1,1,0.8011122748152604,Alto risco,True
C8F67F1F01B244C25DE6E1E0477FD6AB,11,62,2160.98,0,0,0.01590342477221756,Baixo risco,False
0754D2C18C706593A58AFA54070BDBC8,42,18,1899.39,0,0,0.24154261327411847,Baixo risco,False
161232340F339950559AD0C4DF45A2E7,235,10,725.31,1,1,0.7574261901818942,Alto risco,True
E33980C84643B6C6AD1BBEB04204C5A8,33,18,1040.0,0,0,0.2530327129321351,Baixo risco,False
C697B02B1CE20CD2063748AA75CB4A2A,159,2,114.84,1,1,0.7483386874874944,Alto risco,True
4A4891970B9D0ED3DFDBAAA850D7D4ED,2,5,274.94,1,0,0.39483364107806235,Baixo risco,False
90BF6F550B80AEE1323AEA15A36648E2,112,13,706.4699999999999,0,0,0.4834216032895433,Médio risco,False
CD2421EA5C6DFE062E9896332E21E8E8,121,6,655.3499999999999,0,1,0.6090505784966186,Médio risco,False
2DAA9F92C3E94DD0A76BAD706B778174,338,1,19.37,1,1,0.9344900511458937,Alto risco,True
E1DDD22E90351C19A3A632BB4DF580E6,19,16,1631.53,0,0,0.23659234009411953,Baixo risco,False
4956BE59A16D37A0BB4216B52AA88DFF,89,1,96.98,1,1,0.6387902841993914,Médio risco,True
2042C02A981B84E9215F02BB0AD60DA8,3,96,3378.3800000000006,0,0,0.0015666818957746143,Baixo risco,False
6B4959C74497B59A19AE6977A33CBC3D,81,1,4.99,1,1,0.6266982360554237,Médio risco,True
674A692A981769D9F47C9D15C19A0563,276,1,12.17,1,1,0.8949372082461112,Alto risco,True
EE46B7B1394B614FE6041E33ED381BF7,23,46,2747.79,0,0,0.041341859703248426,Baixo risco,False
6C82DAA786858982C2FF305788DF83F0,231,7,297.26,1,1,0.7951392283955513,Alto risco,True
7347B6E80A0EA84D214052D5360CA375,136,5,456.65,0,1,0.659460695434963,Médio risco,False
86081F95360A2749A9BBDD6BD5AF1B04,296,2,17.07,1,1,0.9044068649271854,Alto risco,True
3BC0BFE78982605D9324344F8C93B28B,50,12,891.76,1,0,0.36548383034156856,Baixo risco,False
D906751675114E4F75D6BF30C8A4713A,0,36,10575.04,0,0,0.018495524758831167,Baixo risco,False
EA00E5DDE8D7271EEA933250A152EC7F,46,18,1630.06,0,0,0.25577504607779183,Baixo risco,False
AAF2E8DD08176494144A2C0285631FE5,25,1,34.480000000000004,0,1,0.5116589252418546,Médio risco,False
3653B84EEF5B69473D7914ACAE113FA3,284,1,20.46,1,1,0.9009257747178071,Alto risco,True
F3577B0C57E08E8902DC9A7E74A6F2AF,4,121,9685.27,0,0,0.00012642429401189703,Baixo risco,False
84C902A048B63D6D9847CF4889DB0083,57,3,316.74,1,1,0.5365789435870485,Médio risco,True
450A498484F5EF097CCF1B5C19F944B2,0,94,4098.16,0,0,0.0015392726522083498,Baixo risco,False
DBFC66BA1723CB706812A9368AF9F825,91,8,1121.24,1,0,0.4993218193253339,Médio risco,False
72EE595552BE6EC70DAB728FE325D005,56,5,154.89,1,1,0.5105324386949223,Médio risco,True
218A5AFCEC8910D99183B2EFEF9C800D,8,27,2696.44,0,0,0.10882250075669463,Baixo risco,False
6D6CA984F51CE28685BC348637581FAC,231,2,162.92000000000002,1,1,0.8431978377243093,Alto risco,True
81FC44242AD8C6203CBBD290325452F9,175,1,122.92999999999999,1,1,0.7829208330324455,Alto risco,True
5E0B8FC5045DB83A146F581FBC6A9580,17,38,2432.2999999999997,0,0,0.06561896649366855,Baixo risco,False
117951B33863F6E78510BD4982955FCC,3,83,5557.49,0,0,0.0024434961757938936,Baixo risco,False
9613B99703D5888133DB795D1DEA9D7F,6,18,1962.5400000000002,0,0,0.18933493374139043,Baixo risco,False
E83B55B1A7199D0AC92C55371A3D080A,191,4,83.07999999999998,1,1,0.7755071384140825,Alto risco,True
FD33856B1D420DFA3D8E19BECAD93FE0,0,53,2913.66,0,0,0.022133845584381393,Baixo risco,False
E32571FB5EDE5CED6B60BC7DEAAFFB0E,196,1,43.08,1,1,0.8131339118692659,Alto risco,True
39853439726B071E0AADDCEDF4697D4D,174,18,973.99,1,1,0.5257744077909237,Médio risco,True
90D62E1808B7C8F6C9BBAE547FB4F6A4,29,1,3.6799999999999997,1,1,0.5212082315947849,Médio risco,True
CCA6070CA88FF7967443D85941AF6AD0,190,1,63.47,1,1,0.8049070996047211,Alto risco,True
16FB71239D118A9A7F88D89EE84DE624,151,11,782.23,0,1,0.591101333171062,Médio risco,False
1783B08EA5F113436553251F74EB41D6,255,13,956.3899999999999,1,1,0.7475807445448305,Alto risco,True
A71B4A1B8C5094799581BBF16C0AE6CF,0,100,3702.1799999999994,0,0,0.0011378473579430831,Baixo risco,False
7FD6C4F045B7E835EBC80EF924E5E050,222,1,10.36,1,1,0.8445410226372341,Alto risco,True
D1A01FFBAD2C5EBEFC1C4C282C203897,0,78,6186.699999999999,0,0,0.0029226068076338195,Baixo risco,False
F9B7A43DF0B2AEB5C72C0B5ECB356359,3,111,2144.43,0,0,0.0007650259763303897,Baixo risco,False
B764A598CA6AECA2BC747D80D2FE909E,2,47,3735.2099999999996,0,0,0.028284738242136797,Baixo risco,False
3217E3524D516055CA252824CEE5F4D4,94,14,1874.6000000000001,1,0,0.38623390116657047,Baixo risco,False
119A469A8983AB6B0A89267D12A87D6D,2,69,2304.6900000000005,0,0,0.009474947684053815,Baixo risco,False
4C470D613E65F9058A5CE28905AC1767,61,9,818.01,0,0,0.43402887311958777,Médio risco,False
7B4460E0ECAB8A17A72FEA6C3A60FB47,47,64,2021.9,0,0,0.019362363667900676,Baixo risco,False
F6EFCC5CCF1CB364BC3EDDE2EE0D65F3,43,29,1665.0400000000002,0,0,0.14568510326914472,Baixo risco,False
D842798DF0F461D650E62D6BFEBAACB2,1,12,1984.87,0,0,0.2434273446504945,Baixo risco,False
BAA697AEBF62DC63D9562D12452E60E0,114,1,498.29000000000013,0,1,0.6714224949731092,Médio risco,False
BFC54B5018266CC7CC6B88AC9B985A5D,177,2,401.74,0,1,0.7674811496535051,Alto risco,False
51C60FEF3766090EF19CDB867202AD0D,17,16,1606.5500000000002,0,0,0.2343071950803147,Baixo risco,False
D2FA9B046B93F8CF33E38D807D6874C0,243,2,299.07000000000005,0,1,0.8532807704567413,Alto risco,False
E3685B3FD5399843C6387F6945D25BD1,15,15,931.9199999999998,0,0,0.2625926565595724,Baixo risco,False
E44D7DF3394925C8DB71FB63F4174950,2,12,962.6700000000002,0,0,0.2762803022336596,Baixo risco,False
8E66ABDD9A229649393CBA6764A27374,64,20,861.3,0,0,0.28545660450392785,Baixo risco,False
560CFB9D84ED478313D7EF4515DA9D31,0,104,5356.65,0,0,0.0006856426675402599,Baixo risco,False
099435F2A4BE8C7349D9D694FA54C0E9,227,4,322.64,0,1,0.8178131921851566,Alto risco,False
D821C967EEC109F90147D92C8A4AF232,106,23,1428.43,0,0,0.30142232080490267,Baixo risco,False
5273B5F15F53819893ABCD5CA0A2DC78,41,13,1140.02,0,0,0.32583414698272684,Baixo risco,False
253BC1B210E38DABD35DF5A5C5BAE404,17,1,51.38,1,0,0.49431965015464563,Médio risco,False
48CA09BD09B20ED514F7E851DB212A85,4,105,8083.39,0,0,0.00043230297940704843,Baixo risco,False
2A81699392E22F749C6EEE13B24DFFF2,4,32,2931.2300000000005,0,0,0.07740219155374496,Baixo risco,False
76D591D90FFA36ACDD2337C06E8D2BB3,0,74,6316.620000000001,0,0,0.0036502478553951264,Baixo risco,False
377AEF92499BC2853F8B5A86229B3996,4,14,785.7800000000001,1,0,0.2611436943511198,Baixo risco,False
4A9554334A0E3493F5AFECA47CA1699E,20,33,26508.300000000007,0,0,0.0021131797002268498,Baixo risco,False
ABE3CD8B9A12B6623F0643E0467EA8AA,291,5,565.0300000000001,1,1,0.8738590449425074,Alto risco,True
97C5D5BC0762D794D552E3CCFDDDBD28,2,53,2503.21,0,0,0.02397953327660622,Baixo risco,False
BFE1D91892C6621D6BEE3DDA21FFDF00,235,1,263.1,1,1,0.8532778959019603,Alto risco,True
9A0AE2D48E832DB664135E235CDF4EC6,10,7,575.41,0,0,0.3705087180609377,Baixo risco,False
8B0A4EA3B3F448D426E3E99CCCEFD586,10,5,135.53000000000003,0,0,0.4162521324124715,Médio risco,False
405D3D72AD4BED57DDBBE4EA6F1BD195,410,1,112.10000000000001,1,1,0.9624257982866914,Alto risco,True
732F51CFE503069A062B5BFDDA6D9B31,382,1,356.47999999999996,1,1,0.9512411907864833,Alto risco,True
413F5768F115E6632A7BEA1C5B4A22F9,17,26,1331.87,1,0,0.1480792125705067,Baixo risco,False
56ED2B6A6555971A5BA91C7283DC4C89,10,29,2107.07,1,0,0.10772100959318752,Baixo risco,False
4695C021D998AA0FE66908404C8B974E,3,52,2792.79,0,0,0.024528222133111743,Baixo risco,False
6390E546D9CB7C680E5782A0D13C9EAA,28,24,1218.72,0,0,0.17972693542132695,Baixo risco,False
434A8B9180357C36AB13E8FDE270CBB6,132,2,147.47,1,1,0.702565220580929,Alto risco,True
611478C89D49FADC055CDF27BB2ADF25,336,4,1203.0100000000002,1,1,0.9063610599050239,Alto risco,True
F2A322AE793784D749B6399C4BFA6DD4,2,84,4530.88,0,0,0.002683930710454009,Baixo risco,False
F44B80B4E550DB7A523287F8C47BB49B,2,68,3666.02,0,0,0.008119980790791294,Baixo risco,False
574BD768ECBE203467BD5B047B11EC9F,6,1,42.59,1,0,0.47177877680584696,Médio risco,False
31918B960DA0A36D7E721049D7350D9B,93,1,28.67,1,1,0.6489269775022076,Médio risco,True
C315A32FCA2178DBED1FEBFDF6514F8A,12,2,93.56,0,0,0.4670383150127931,Médio risco,False
8E47F1CB2FECB7D8599315540F38148D,207,1,18.48,0,1,0.8272268279191245,Alto risco,False
